Subject,Condition,RC,CE,probeACC,probeRT
1,1,RC,NonCE,1,918.9664156
2,3,RC,CE,1,1284.91285
2,3,RC,CE,1,1102.556444
2,2,NonRC,NonCE,1,935.6107439
2,1,RC,NonCE,1,2086.134106
2,1,RC,NonCE,1,1686.545932
2,2,NonRC,NonCE,0,1035.737043
2,1,RC,NonCE,1,935.5501449
2,4,NonRC,CE,1,2887.141102
2,2,NonRC,NonCE,1,1702.948483
2,1,RC,NonCE,1,1503.036908
2,3,RC,CE,1,1402.795285
2,4,NonRC,CE,1,2270.267362
2,3,RC,CE,1,3621.589952
2,3,RC,CE,1,3738.342647
2,2,NonRC,NonCE,1,1184.776348
2,1,RC,NonCE,1,1085.634473
2,1,RC,NonCE,1,2203.467749
2,1,RC,NonCE,1,1569.750261
2,4,NonRC,CE,1,1819.762705
2,2,NonRC,NonCE,1,2953.308444
2,2,NonRC,NonCE,1,1869.848734
2,2,NonRC,NonCE,1,1452.789488
2,4,NonRC,CE,1,2570.659246
2,2,NonRC,NonCE,1,1218.10829
2,2,NonRC,NonCE,1,1552.900638
2,3,RC,CE,1,2620.64943
2,3,RC,CE,0,1319.40514
2,4,NonRC,CE,1,2086.801623
2,4,NonRC,CE,0,1219.255034
2,4,NonRC,CE,1,2270.147092
2,4,NonRC,CE,0,1335.887768
2,3,RC,CE,0,0
2,1,RC,NonCE,1,852.113005
2,1,RC,NonCE,1,1035.65913
2,1,RC,NonCE,1,551.9233237
2,4,NonRC,CE,0,818.7822995
2,3,RC,CE,0,1886.694957
2,1,RC,NonCE,0,1169.100986
2,3,RC,CE,1,1235.857005
2,1,RC,NonCE,1,1903.25457
2,1,RC,NonCE,0,1069.037759
2,3,RC,CE,1,1786.385005
2,2,NonRC,NonCE,1,1619.589256
2,1,RC,NonCE,1,1085.815343
2,4,NonRC,CE,1,3253.300251
2,2,NonRC,NonCE,1,1251.631923
2,3,RC,CE,0,1569.632773
2,3,RC,CE,1,1719.703188
2,2,NonRC,NonCE,1,2753.521159
2,4,NonRC,CE,1,1719.723594
2,3,RC,CE,1,1269.229449
2,3,RC,CE,0,1984.959382
2,2,NonRC,NonCE,1,1051.362319
2,3,RC,CE,0,1736.472116
2,4,NonRC,CE,1,3037.751962
2,2,NonRC,NonCE,1,1135.741527
2,1,RC,NonCE,1,2403.797643
2,4,NonRC,CE,1,2103.402976
2,3,RC,CE,0,3704.98999
2,1,RC,NonCE,0,3321.178899
2,3,RC,CE,0,1903.162435
2,3,RC,CE,0,2052.425585
2,1,RC,NonCE,1,3887.422145
2,1,RC,NonCE,1,1002.32657
2,4,NonRC,CE,0,1602.376039
2,3,RC,CE,0,2336.883942
2,2,NonRC,NonCE,1,2035.713855
2,2,NonRC,NonCE,1,818.8679421
2,1,RC,NonCE,1,1302.612406
2,2,NonRC,NonCE,1,1619.715092
2,2,NonRC,NonCE,1,2437.075169
2,1,RC,NonCE,0,1869.77144
2,4,NonRC,CE,1,1636.239768
2,2,NonRC,NonCE,1,852.224
2,2,NonRC,NonCE,1,1352.564251
2,3,RC,CE,1,2737.331633
2,3,RC,CE,0,1436.118879
2,1,RC,NonCE,1,1119.025778
2,4,NonRC,CE,0,2120.025044
2,3,RC,CE,1,1501.750106
2,4,NonRC,CE,1,1185.958029
2,3,RC,CE,1,1536.183961
2,3,RC,CE,1,1334.942918
2,4,NonRC,CE,0,1635.188251
2,3,RC,CE,1,1135.835208
2,2,NonRC,NonCE,1,2320.37287
2,1,RC,NonCE,1,1402.674396
2,2,NonRC,NonCE,1,1152.358338
2,1,RC,NonCE,1,1002.266589
2,4,NonRC,CE,0,985.6185506
2,3,RC,CE,0,802.1373525
2,2,NonRC,NonCE,0,1686.260251
2,4,NonRC,CE,0,1302.677024
2,2,NonRC,NonCE,1,802.2758649
2,4,NonRC,CE,1,1135.895498
2,3,RC,CE,1,1202.503111
2,3,RC,CE,0,1436.154744
2,2,NonRC,NonCE,1,835.5830724
2,4,NonRC,CE,1,983.948058
2,4,NonRC,CE,0,2120.043903
2,2,NonRC,NonCE,1,734.0880386
2,1,RC,NonCE,1,1586.436638
2,3,RC,CE,0,1436.020251
2,1,RC,NonCE,0,1269.322512
2,1,RC,NonCE,1,1001.138087
2,4,NonRC,CE,0,1052.374879
2,4,NonRC,CE,1,1953.337817
2,1,RC,NonCE,1,1419.457237
2,3,RC,CE,1,851.3292368
2,2,NonRC,NonCE,1,1135.701024
2,3,RC,CE,1,1202.569585
2,2,NonRC,NonCE,1,1085.851517
2,1,RC,NonCE,0,1418.387478
2,3,RC,CE,1,2086.705778
2,2,NonRC,NonCE,0,2437.04085
2,4,NonRC,CE,0,1618.408812
2,2,NonRC,NonCE,1,1636.261102
2,3,RC,CE,1,2120.117179
2,1,RC,NonCE,1,1336.021024
2,1,RC,NonCE,1,2554.081701
2,2,NonRC,NonCE,1,2019.040464
2,1,RC,NonCE,0,952.3036135
2,2,NonRC,NonCE,0,1686.394744
2,3,RC,CE,0,1319.286725
2,3,RC,CE,0,834.7526183
2,4,NonRC,CE,1,1435.986242
2,2,NonRC,NonCE,1,802.0931401
2,4,NonRC,CE,1,1118.075672
2,3,RC,CE,0,868.8661642
2,1,RC,NonCE,1,1302.604367
2,2,NonRC,NonCE,1,685.3401354
2,4,NonRC,CE,0,1002.445295
2,1,RC,NonCE,1,1002.426744
2,4,NonRC,CE,1,1034.699749
2,4,NonRC,CE,1,635.340367
2,1,RC,NonCE,1,1301.627672
2,4,NonRC,CE,0,967.9078646
2,1,RC,NonCE,0,1235.883594
2,4,NonRC,CE,1,2086.648889
2,2,NonRC,NonCE,1,1569.537546
2,3,RC,CE,1,1836.514937
2,4,NonRC,CE,1,1352.696271
2,4,NonRC,CE,1,634.3191497
2,1,RC,NonCE,1,735.3736039
2,2,NonRC,NonCE,1,1586.189604
2,4,NonRC,CE,0,851.3984927
2,3,RC,CE,0,685.3401354
2,1,RC,NonCE,1,1769.835903
2,3,RC,CE,1,1269.239961
2,4,NonRC,CE,1,1719.849739
2,1,RC,NonCE,1,767.5934299
2,1,RC,NonCE,1,918.879227
2,1,RC,NonCE,1,768.6294878
2,4,NonRC,CE,1,901.0408502
2,2,NonRC,NonCE,1,1268.171749
2,2,NonRC,NonCE,1,952.2077681
2,2,NonRC,NonCE,1,1968.97113
2,2,NonRC,NonCE,1,1636.472889
2,4,NonRC,CE,1,852.1550531
2,4,NonRC,CE,0,818.7421062
3,1,RC,NonCE,1,1435.081585
3,3,RC,CE,0,1819.740754
3,1,RC,NonCE,1,1536.196947
3,3,RC,CE,0,3184.072348
3,4,NonRC,CE,1,1219.34315
3,3,RC,CE,1,1953.41171
3,3,RC,CE,1,1719.731324
3,2,NonRC,NonCE,1,1468.486493
3,2,NonRC,NonCE,1,852.1266086
3,2,NonRC,NonCE,1,1068.936657
3,3,RC,CE,1,2086.742261
3,4,NonRC,CE,0,1569.536927
3,3,RC,CE,0,1284.914087
3,4,NonRC,CE,0,1336.263111
3,1,RC,NonCE,1,1285.907169
3,1,RC,NonCE,1,1219.224425
3,1,RC,NonCE,1,2036.695498
3,3,RC,CE,0,1419.424773
3,4,NonRC,CE,1,1369.422222
3,3,RC,CE,1,1436.092599
3,2,NonRC,NonCE,1,1002.314512
3,2,NonRC,NonCE,1,1402.945546
3,4,NonRC,CE,0,1352.778512
3,1,RC,NonCE,1,952.2866088
3,4,NonRC,CE,1,969.0688308
3,1,RC,NonCE,1,1119.068444
3,2,NonRC,NonCE,1,1052.316444
