Subject,Condition,cType,gType,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
1,4,1,3,5,126,92,567.259383,517.100682,467.211584,416.913443,483.817889,367.020635,4,3,3,3,3,4,f,1,835.290229
1,2,1,0,0,148,159,717.312531,650.687892,383.773491,717.359835,433.730298,383.674244,4,3,2,3,2,2,j,1,601.828669
1,2,3,3,8,90,162,517.191889,583.91763,433.77482,633.932254,500.501179,400.482133,3,3,2,3,3,2,f,1,902.007313
1,4,0,0,0,165,97,634.240505,533.616088,483.650623,350.505229,417.003105,417.233443,4,4,2,2,2,3,j,1,935.374512
1,1,3,2,8,107,100,483.684014,500.440889,467.208802,483.650932,517.315252,499.844174,3,3,2,3,2,3,f,1,735.219551
1,2,0,2,3,315,181,684.135477,650.629457,333.672606,1117.788481,483.740285,333.792876,4,3,4,4,3,2,f,1,768.529861
1,2,2,3,7,340,186,567.307615,450.378033,350.267471,317.157818,400.312704,467.079565,3,3,4,4,3,4,f,1,617.654297
1,4,1,3,1,118,109,583.813746,550.657407,450.40184,367.084944,416.530989,434.201487,4,3,3,2,3,4,j,1,651.775583
1,2,1,1,0,201,242,683.970376,500.446145,467.019275,667.431781,450.475424,333.151639,4,4,2,3,3,4,j,1,884.348563
1,2,2,1,6,298,247,650.463119,517.185706,417.067414,483.826237,400.499757,383.63436,3,2,3,4,3,3,f,1,902.002675
1,4,1,0,4,85,120,700.677473,617.2805,717.262444,617.474355,567.080369,667.319858,4,3,3,4,3,4,f,1,1002.272155
1,2,1,3,1,178,248,684.022009,433.834182,666.915143,534.216822,633.86578,534.042445,4,3,3,3,4,3,j,1,718.680957
1,2,0,0,3,288,252,567.322456,517.02215,350.349094,717.339739,383.774418,350.329925,4,3,3,4,3,3,f,1,785.272822
1,2,2,0,1,230,253,750.68715,550.560943,367.035785,700.715502,517.183232,417.069269,3,3,2,4,2,3,j,1,701.863483
1,4,1,3,1,174,127,467.115739,450.461202,367.148017,233.539164,333.586345,366.868828,4,3,2,2,2,3,j,1,550.974624
1,4,3,0,2,69,130,517.259909,467.05112,583.930615,350.353113,383.707945,417.088129,3,3,3,3,2,3,j,1,868.652172
1,1,2,3,7,70,132,684.025719,683.992018,383.661259,417.088438,567.141895,383.804408,3,4,3,4,3,4,f,1,901.911467
1,1,2,2,1,115,133,650.570713,633.968737,650.641515,600.619471,483.813869,333.662712,3,2,3,4,3,2,j,1,618.295534
1,2,3,1,8,253,279,783.845653,517.240121,634.143732,600.674505,467.13027,550.479938,3,3,4,3,3,3,f,1,701.711676
1,2,1,3,1,296,296,684.013661,567.249799,417.067105,450.468004,433.744211,383.728969,4,2,4,3,2,2,j,1,751.878416
1,1,3,0,7,158,143,750.831536,483.733792,684.01397,500.501179,500.509836,650.606887,3,3,2,3,3,4,f,1,651.703854
1,4,0,3,4,114,146,533.887856,767.431039,483.828401,383.702689,450.468313,433.433487,4,4,4,5,2,3,f,1,818.570147
1,2,2,0,6,214,297,483.804285,533.875489,1101.103954,500.499633,417.086583,417.077617,3,3,2,4,3,4,f,1,835.231485
