SubjectNo,Subject,Condition,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
1,1,3,6,172,168,600.6384541,1568.190454,900.684058,684.2406956,650.7139711,467.1594976,3,3,3,2,3,3,f,1,835.6010048
1,1,1,0,173,109,550.6281739,900.9224349,1034.311111,716.9406763,601.0682127,600.5330242,3,3,2,3,3,3,j,1,1635.279768
1,1,1,1,174,141,700.685604,700.7146666,784.1694299,700.6630339,600.5521931,567.2326183,3,3,2,3,3,3,j,1,802.0334686
1,1,4,1,176,128,867.5601932,1234.568039,750.7496811,633.9376231,567.2415844,550.6594011,3,3,3,3,3,3,j,1,984.8653914
1,1,4,6,179,184,617.2614491,1518.307247,683.8687535,650.7421064,633.9376231,633.935459,3,3,3,3,3,3,f,1,1069.132676
1,1,1,0,180,192,717.8233818,734.1022608,1084.351691,967.5705507,600.7129662,517.2251207,3,3,2,3,3,3,j,1,2202.454879
1,1,1,4,181,136,1017.604019,1785.165295,683.9908792,600.3351498,951.2032464,650.6243092,3,3,2,3,3,3,f,1,968.8542609
1,1,4,7,183,100,800.7172947,984.3979131,717.3710531,700.6645796,1084.544618,617.1062416,3,3,3,3,3,3,f,1,902.2648889
1,1,3,0,185,156,700.5350338,784.1604638,650.7003671,584.0231883,817.2803093,600.1978745,3,3,3,2,3,3,j,1,1652.858435
1,1,2,1,186,148,1151.169855,934.2624154,617.3143189,567.2700291,550.4046376,533.9127344,3,3,3,3,3,3,j,1,768.6947247
1,1,2,5,188,147,750.7394783,917.5936619,617.2472269,550.4822417,533.9065506,450.4601355,3,3,3,3,3,3,f,1,802.1630144
1,1,1,0,189,194,700.7159034,617.2976231,1151.205411,633.9101063,750.8108984,583.8460291,3,3,2,3,3,3,j,1,1685.502454
1,1,3,0,192,151,717.3985699,1201.184773,800.7769661,667.3978744,1034.398918,1117.747633,3,3,3,2,3,3,j,1,1519.419053
1,1,4,4,193,198,984.3175265,1151.145121,667.3366569,617.3118455,684.0415844,550.5100677,3,3,3,3,3,3,f,1,1352.715749
1,1,1,2,194,190,684.301913,834.238454,984.2414686,734.0636137,667.2961544,850.8917489,3,3,2,3,3,3,f,1,802.1722897
1,1,4,1,195,158,667.3873623,1000.961546,734.0781449,667.3796328,600.4727343,500.7904156,3,3,3,3,3,3,j,1,852.2205988
1,1,1,7,196,105,750.8458358,1968.544155,817.5594974,617.1996137,517.1280385,584.0098939,3,3,2,3,3,3,f,1,818.8456811
1,1,1,7,197,166,650.6886182,734.0314591,717.3376617,684.0799227,517.3317876,617.1349951,3,3,2,3,3,3,f,1,967.9171401
1,1,2,0,198,117,600.5750725,633.9574107,667.3771592,617.2648503,533.8533721,650.6481159,3,3,3,3,3,3,j,1,1919.913739
1,1,1,1,199,188,784.2386861,1000.849005,917.5973721,667.3001738,684.0316909,634.0634588,3,3,2,3,3,3,j,1,918.9664156
2,2,3,1,1,33,633.9938939,650.5841159,617.2376426,500.542454,600.6335074,550.5385119,3,3,3,2,3,3,j,1,1284.91285
2,2,3,1,2,47,583.956406,684.0125215,634.0291402,617.2988599,700.5674976,617.3727536,3,3,3,2,3,3,j,1,1102.556444
2,2,2,1,3,81,533.3017972,517.6978549,516.5307054,501.0730049,467.170628,467.1372366,3,3,3,3,3,3,j,1,935.6107439
2,2,1,0,4,46,483.7657972,550.5462415,533.8657391,550.6170436,600.4953042,567.2718841,3,3,2,3,3,3,j,1,2086.134106
2,2,1,0,5,9,583.396483,1368.660097,650.4963092,633.9741063,534.0966955,567.0118649,3,3,2,3,3,3,j,1,1686.545932
2,2,1,1,8,38,467.0744734,450.5077489,483.8168116,567.1809856,450.3887149,433.8300291,3,3,2,3,3,3,j,1,935.5501449
2,2,4,4,9,48,417.1074783,417.0880001,417.0657392,567.2214879,500.5053526,417.0419322,3,3,3,3,3,3,f,1,2887.141102
2,2,2,3,10,69,1901.994667,667.2463769,617.2500097,600.6171207,533.8833623,517.312309,3,3,3,3,3,3,f,1,1702.948483
2,2,1,0,11,50,467.2030918,433.6621449,433.7456231,650.6694492,500.4815459,416.6767923,3,3,2,3,3,3,j,1,1503.036908
2,2,3,7,12,79,600.7788212,700.7007536,683.9522319,717.3549759,634.0254301,450.4168502,3,3,3,2,3,3,f,1,1402.795285
2,2,4,0,13,95,633.9419517,650.6434784,817.5752657,917.5414105,583.8809663,483.899053,3,3,3,3,3,3,j,1,2270.267362
2,2,3,5,14,36,684.0214878,817.4738551,700.6775653,750.8074974,850.8942223,483.9324446,3,3,3,2,3,3,f,1,3621.589952
2,2,3,0,15,84,883.3821062,701.4421644,950.9079806,884.2289469,616.6764831,501.2124444,3,3,3,2,3,3,j,1,3738.342647
2,2,2,1,16,86,550.092058,501.0300288,549.7986474,584.6028987,483.2534879,501.1292754,3,3,3,3,3,3,j,1,1184.776348
2,2,1,6,17,51,483.7463188,483.8192852,517.1778165,950.9766183,617.2592849,433.7484059,3,3,2,3,3,3,f,1,1085.634473
2,2,1,3,18,15,600.5336426,617.3894494,583.9347632,567.1803672,533.8845991,450.4168502,3,3,2,3,3,3,f,1,2203.467749
2,2,1,5,21,57,500.5690434,600.7352271,617.224657,667.3258359,467.0605604,500.5220482,3,3,2,3,3,3,f,1,1569.750261
2,2,4,6,22,60,567.1695459,533.9733332,517.1097971,567.2397295,583.9953625,550.4534878,3,3,3,3,3,3,f,1,1819.762705
2,2,2,0,23,59,834.3095654,1134.335691,984.3484443,600.465314,467.2834782,333.5577971,3,3,3,3,3,3,j,1,2953.308444
2,2,2,1,24,23,550.5168694,567.2431306,517.296541,517.2483092,467.0008889,399.9094106,3,3,3,3,3,3,j,1,1869.848734
2,2,2,0,27,61,483.9049277,583.8398454,550.5830338,467.1458937,467.0673623,350.4197875,3,3,3,3,3,3,j,1,1452.789488
2,2,4,4,29,35,617.4132561,633.9144348,517.2124445,483.765797,483.8146474,400.5215846,3,3,3,3,3,3,f,1,2570.659246
2,2,2,7,30,8,517.8719228,516.9919999,417.3226666,450.2937971,483.8322706,417.0811982,3,3,3,3,3,3,f,1,1218.10829
2,2,2,1,31,37,400.5184928,417.0128694,633.8482706,517.1765797,467.1350725,349.9841546,3,3,3,3,3,3,j,1,1552.900638
2,2,3,4,32,99,400.4257391,350.1931594,600.7262608,1518.190377,517.1580291,433.1891013,3,3,3,2,3,3,f,1,2620.64943
2,2,4,1,35,24,416.5453913,484.2039032,2569.205179,600.7278068,667.2541061,650.6641933,3,3,3,3,3,3,j,1,2086.801623
2,2,4,1,37,31,500.4688695,617.3201934,717.5182221,633.8331208,517.1475168,517.2232657,3,3,3,3,3,3,j,1,2270.147092
2,2,1,1,41,16,834.077372,734.2073817,717.2823187,717.4427828,667.3329468,483.7973332,3,3,2,3,3,3,j,1,852.113005
2,2,1,1,42,88,500.4308405,383.7161739,450.6895458,516.9663383,533.8456426,417.0669757,3,3,2,3,3,3,j,1,1035.65913
2,2,1,1,43,19,400.3663769,433.7258358,499.9918069,467.7178743,467.0497391,383.7761546,3,3,2,3,3,3,j,1,551.9233237
2,2,3,1,47,63,450.4811596,517.2714975,450.2934879,483.9231691,433.7654107,417.0178163,3,3,3,2,3,3,j,1,1235.857005
2,2,1,5,49,17,467.0713816,650.7628213,583.7990337,750.7434976,466.5108407,300.8995554,3,3,2,3,3,3,f,1,1903.25457
2,2,3,4,53,56,600.7148211,767.2947634,784.115942,700.8021644,666.7040773,384.2940289,3,3,3,2,3,3,f,1,1786.385005
2,2,2,7,54,74,700.7545508,533.8091594,583.9282705,500.5375072,450.399227,383.8778744,3,3,3,3,3,3,f,1,1619.589256
2,2,1,7,55,26,767.375459,750.8847923,617.1297391,650.6892368,517.1799806,450.4140676,3,3,2,3,3,3,f,1,1085.815343
2,2,4,5,56,87,467.0812753,533.7664927,533.905314,567.2706475,483.845565,467.0370629,3,3,3,3,3,3,f,1,3253.300251
2,2,2,7,57,21,784.1122318,600.5818744,517.1614299,567.2551885,483.8353624,383.7109178,3,3,3,3,3,3,f,1,1251.631923
2,2,3,3,59,77,600.6582414,550.5264541,700.7322898,650.6515171,483.7787824,383.7461644,3,3,3,2,3,3,f,1,1719.703188
2,2,2,0,60,68,450.4282898,650.6555362,700.6868406,500.5804831,383.6435168,316.9657199,3,3,3,3,3,3,j,1,2753.521159
2,2,4,5,61,20,533.8802706,517.2343962,483.9138938,667.2417391,500.1454686,584.6118648,3,3,3,3,3,3,f,1,1719.723594
2,2,3,1,62,97,533.9501449,450.383459,633.9252561,500.575227,467.1149759,450.4122124,3,3,3,2,3,3,j,1,1269.229449
2,2,2,4,65,73,717.2606762,783.5955943,734.6454877,483.9061643,500.3844639,383.2746665,3,3,3,3,3,3,f,1,1051.362319
2,2,4,1,68,45,784.1824156,583.934454,633.9230919,634.0408889,633.9722511,583.8757101,3,3,3,3,3,3,j,1,3037.751962
2,2,2,6,69,98,533.7003283,800.8786861,617.3031884,517.5278068,533.4622609,550.5298551,3,3,3,3,3,3,f,1,1135.741527
2,2,1,6,70,62,450.6360581,633.7613913,433.7601545,1051.052212,750.7812176,583.8905505,3,3,2,3,3,3,f,1,2403.797643
2,2,4,7,72,54,500.5019517,600.661024,550.5051208,633.9595749,650.6926378,667.3181064,3,3,3,3,3,3,f,1,2103.402976
2,2,1,0,77,94,583.9288889,817.5053913,500.0588985,517.6276716,1284.577391,567.3207343,3,3,2,3,3,3,j,1,3887.422145
2,2,1,2,78,53,1651.574106,684.1726762,600.5698165,633.9586473,483.7902223,400.3577197,3,3,2,3,3,3,f,1,1002.32657
2,2,2,6,82,13,634.4081932,750.7601932,684.0224154,617.2744348,550.6216811,550.5920001,3,3,3,3,3,3,f,1,2035.713855
2,2,2,1,83,92,751.038454,750.4315362,1351.475633,567.1497583,517.1929663,583.9384734,3,3,3,3,3,3,j,1,818.8679421
2,2,1,1,84,43,433.8154977,500.391884,417.1554011,600.550029,633.5857778,434.3200773,3,3,2,3,3,3,j,1,1302.612406
2,2,2,7,85,11,450.4462222,650.5698937,500.5409082,517.166686,533.9733334,416.9986474,3,3,3,3,3,3,f,1,1619.715092
2,2,2,2,87,90,650.6416232,633.9908019,483.7797103,683.9952078,517.2241931,517.1734879,3,3,3,3,3,3,f,1,2437.075169
2,2,4,1,90,10,650.670686,1534.889739,617.2237296,533.8515169,467.1625893,517.1731787,3,3,3,3,3,3,j,1,1636.239768
2,2,2,1,91,6,584.0318454,800.7349179,583.9063188,617.2954589,533.9161353,417.0014299,3,3,3,3,3,3,j,1,852.224
2,2,2,0,92,28,583.9199226,784.132947,583.8911692,533.939942,517.1595747,366.9840388,3,3,3,3,3,3,j,1,1352.564251
2,2,3,7,93,32,467.0209854,500.1058937,567.6119807,567.3031111,450.4793044,450.4629178,3,3,3,2,3,3,f,1,2737.331633
2,2,1,4,95,25,550.4912077,784.1082127,450.5247534,733.7111498,901.2248118,433.7014104,3,3,2,3,3,3,f,1,1119.025778
2,2,3,1,97,4,1484.824425,2068.744966,1017.669565,733.2656232,384.4934492,350.3245604,3,3,3,2,3,3,j,1,1501.750106
2,2,4,3,98,55,633.9660676,900.2889276,601.1959035,650.6648115,883.5537005,301.0832076,3,3,3,3,3,3,f,1,1185.958029
2,2,3,1,99,66,817.4868408,700.699826,717.3732175,533.9028405,483.2037103,334.3217778,3,3,3,2,3,3,j,1,1536.183961
2,2,3,3,101,183,567.2051015,584.0281353,533.7717487,633.9836908,567.2032465,483.8066087,3,3,3,2,3,3,f,1,1334.942918
2,2,3,3,103,164,583.7795555,667.3885991,784.1490242,700.7227053,533.8515169,450.1274589,3,3,3,2,3,3,f,1,1135.835208
