type,stimulusNo,sentence,probe,CorrAns,pType,cType,gType
5,56,수지가 학생들에게 윤미가 느낀 감동을 전했다,감동을 느낀 사람은 수지다.,f,3,3,0
2,57,경화가 논리를 펴고 정현이가 근거를 강화했다,정현이가 강화한 것은 신체다.,f,7,2,3
7,58,뉴스에서 외국 기업의 고위 간부가 일주일 만에 처음 얼굴을 비추었다,고위 간부가 얼굴을 감췄다.,f,,,
5,59,수철이가 여옥이의 빛나는 아이디어를 즉각 선택했다,수철이가 선택한 것은 아이디어다.,j,1,0,2
7,60,비교적 따뜻한 햇살 속에서 사람들이 많은 어린이들이 노는 모습을 구경했다,사람들이 구경한 것은 나무다.,f,,,
5,61,하리가 탁월한 업무 처리 능력을 보유했다,하리가 업무 처리 능력을 보유했다.,j,2,3,4
5,62,세호가 슬슬 시민단체와 같이 건물을 둘러쌌다,세호가 건물을 둘러쌌다.,j,2,3,5
3,63,영길이가 상훈이가 정리를 마친 방을 찾았다,정리를 마친 사람은 상훈이다.,j,0,0,1
5,64,효연이가 혜원이의 앞을 향해 빠르게 달려들었다,효연이가 빠르게 달려들었다.,j,2,0,0
5,65,윤태가 동아시아의 정치적 변화를 정확하게 예측했다,변화를 예측한 사람은 종우다.,f,6,2,5
4,66,승희가 시윤이가 팔을 때리자 도망을 쳤다,도망을 친 사람은 희지다.,f,6,2,0
1,67,윤서가 꽃을 붙여준 연희가 거울을 쳐다봤다,윤서가 꽃을 붙여줬다.,j,2,3,0
5,68,의찬이가 굉장한 작품의 가치를 낮게 평가했다,가치를 낮게 평가한 사람은 의찬이다.,j,0,0,5
7,69,매우 유명한 작가의 등장에 독자들이 모임 장소에 생각보다 많이 모였다,독자들이 모임 장소에서 떠났다.,f,,,
1,70,영순이가 글자를 읽어준 성진이가 문장을 만들었다,성진이가 만든 것은 글자이다.,f,4,0,3
7,71,몹시 위험한 동네에서 이웃 아주머니가 낯선 꼬마가 헤매자 가게로 데려왔다,아주머니가 데려온 사람은 낯선 꼬마다.,j,,,
1,72,민준이가 모자를 챙겨준 성수가 가방을 잊었다,성수가 가방을 챙겨줬다.,f,5,1,1
5,73,은미가 애초부터 연구소에서 막대한 비중을 차지했다,은미가 막대한 비중을 차지했다.,j,2,3,4
5,74,한나가 공공의 이익을 위한 제도를 파괴했다,한나가 파괴한 것은 집이다.,f,8,3,4
4,75,건호가 현성이가 시비를 걸자 겁을 냈다,시비를 건 사람은 대원이다.,f,6,2,1
1,76,성우가 권한을 넘긴 영식이가 시설을 관리했다,영식이가 관리한 것은 시설이다.,j,1,2,1
2,77,신영이가 땅을 팔고 성혜가 사무실을 차렸다,신영이가 판 것은 사무실이다.,f,4,1,0
7,78,어렵고 가난한 일상 속에서 아내가 많은 회사 사람들의 도움에 감사했다,아내가도움에 감사했다.,j,,,
5,79,지윤이가 시민들의 이상한 주장에 깜짝 놀랐다,주장에 놀란 사람은 지윤이다.,j,0,0,4
5,80,윤호가 밝은 모습으로 중학교를 다시 방문했다,윤호가 방문한 곳은 시장이다.,f,7,3,5
1,81,미리가 건강을 걱정한 진호가 병원을 갔다,진호가 병원을 갔다.,j,2,3,3
5,82,재석이가 제품의 문제를 대수롭지 않게 여겼다,대수롭지 않게 여긴 사람은 호철이다.,f,6,1,5
5,83,문호가 하루 동안 경제적으로 여유를 누렸다,문호가 누린 것은 명예다.,f,7,3,5
5,84,태우가 특이한 규칙으로 이루어진 놀이를 즐겼다,태우가 즐긴 것은 놀이다.,j,1,2,5
3,85,지은이가 형석이가 먼지를 청소한 창문을 열었다,창문을 연 사람은 지은이다.,j,0,0,3
7,86,전의 친목 모임에서 전직 경찰이 옛날 직장 동료를 금세 알아봤다,전직 경찰이 알아본 사람은 가족이다.,f,,,
5,87,현경이가 옷의 주머니를 뒤집고 먼지를 뗐다,현경이가 주머니를 뗐다.,f,5,1,4
7,88,서준이가 사 년 만에 마침내 완전히 새로운 사업을 화려하게 시작했다,서준이가 시작한 것은 사업이다.,j,,,
5,89,민경이가 아이들에게 수학을 특히 중요하게 강조했다,수학을 강조한 사람은 민경이다.,j,0,0,4
1,90,영희가 마음을 의지한 승우가 상황을 받아들였다,승우가 상황을 예측했다.,f,8,3,3
1,91,영준이가 성격을 지적한 은희가 잘못을 인정했다,은희가 잘못을 지적했다.,f,5,1,2
4,92,희연이가 재규가 오류를 놓치자 불만을 나타냈다,희연이가 불만을 놓쳤다.,f,5,1,3
2,93,윤주가 회의를 준비하고 전희가 컴퓨터를 설치했다,윤주가 회의를 준비했다.,j,2,3,0
3,94,명숙이가 현석이가 운동장을 달린 모습을 찍었다,명숙이가 찍은 것은 운동장이다.,f,4,0,3
5,95,성배가 대뜸 사기가 아니냐는 의문을 품었다,성배가 품은 것은 불만이다.,f,8,3,5
5,96,창재가 언제나 그렇듯이 교통 신호를 지켰다,창재가 지킨 것은 약속이다.,f,7,2,5
4,97,다영이가 시원이가 빵을 먹자 옷을 입었다,빵을 먹은 사람은 시원이다.,j,0,0,0
