type,stimulusNo,sentence,probe,CorrAns,pType,cType,gType
5,240,유린이가 외로운 영재가 있는 술집에 왔다,외로운 사람은 유린이다.,f,3,1,3
5,241,건태가 낯익은 아파트 부근에서 길을 헤멨다,건태가 헤맨 곳은 시장이다.,f,8,3,5
2,242,성준이가 분위기를 잡고 상수가 발표를 진행했다,발표를 진행한 사람은 상수다.,j,0,1,1
5,243,신희가 완벽한 재능으로 감독의 관심을 끌었다,신희가 감독의 관심을 끌었다.,j,2,3,4
2,244,미화가 도망을 가고 신애가 몸을 가렸다,신애가 가린 것은 얼굴이다.,f,7,3,0
2,245,민규가 고양이를 먹이고 상기가 글을 남겼다,민규가 고양이를 먹였다.,j,2,3,1
2,246,재민이가 논란을 해결하고 은아가 책임을 졌다,재민이가 해결한 것은 논란이다.,j,1,1,2
2,247,영수가 불을 붙이고 예준이가 바람을 불었다,불을 붙인 사람은 만재다.,f,6,2,1
2,248,보영이가 껍질을 버리고 병호가 쓰레기를 모았다,보영이가 버린 것은 껍질이다.,j,1,1,3
5,249,진일이가 청소년 시절부터 담배를 자주 피웠다,담배를 자주 핀 사람은 진일이다.,j,0,0,5
5,250,범규가 두려울 정도로 치밀한 성격을 지녔다,범규가 지닌 것은 돈이다.,f,7,3,5
5,251,선아가 어제 방에서 고기 냄새를 맡았다,선아가 고기 냄새를 맡았다.,j,2,3,4
2,252,소윤이가 비밀을 숨기고 윤옥이가 화제를 돌렸다,비밀을 숨긴 사람은 윤옥이다.,f,3,0,0
2,253,세리가 고개를 들고 가인이가 눈을 감았다,세리가 든 것은 고개다.,j,1,2,0
4,254,영만이가 상현이가 표를 들고오자 자리를 떴다,자리를 뜬 사람은 상현이다.,f,3,0,1
5,255,세훈이가 위험을 무릅쓰고 가까스로 강도를 붙잡았다,강도를 붙잡은 사람은 세훈이다.,j,0,1,5
7,256,승범이가 그저께 새벽에 가족들과 함께 몹시 가난했던 시절을 조용히 떠올렸다,가난했던 시절을 떠올린 사람은 승범이다.,j,,,
7,257,동네의 유일한 외과 전문 의사가 오늘은 병원에 너무 늦게 도착했다,외과 전문 의사가 병원을 지나쳤다.,f,,,
7,258,인철이가 아까 동네 식당에서 그 뜨거운 음식을 한 번에 삼켰다,인철이가 삼킨 것은 뜨거운 음식이다.,j,,,
7,259,옛부터 가족의 빚으로 괴로웠던 여성이 십 년의 가난을 드디어 벗어났다,여성이 벗어난 것은 고향이다.,f,,,
5,260,유리가 위험한 지역에 위치한 학원에서 근무했다,유리가 학원에서 근무했다.,j,2,3,4
5,261,설혜가 해외에서 간단한 수술 절차를 밟았다,설혜가 밟은 것은 수술 절차다.,j,1,2,4
1,262,인석이가 가능성을 본 영규가 우승을 차지했다,우승을 차지한 사람은 영규다.,j,0,1,1
4,263,현철이가 가혜가 기회를 주자 영어를 사용했다,현철이가 사용한 것은 영어다.,j,1,1,2
1,264,현숙이가 인터뷰를 한 명수가 울음을 참았다,현숙이가 한 것은 인터뷰다.,j,1,1,3
3,265,철수가 유진이가 영화를 본 시간을 검토했다,철수가 검토한 것은 시간이다.,j,1,2,2
3,266,용식이가 은지가 책을 넣은 상자를 옮겼다,은지가 책을 옮겼다.,f,5,1,2
5,267,세정이가 성과를 평가하고 교육 일정을 결정했다,세정이가 결정한 것은 성과다.,f,4,0,4
4,268,형우가 윤설이가 문제를 일으키자 대책을 세웠다,윤설이가 일으킨 것은 문제다.,j,1,2,2
5,269,선재가 시험 성적으로 흥미로운 내기를 걸었다,선재가 흥미로운 내기를 걸었다.,j,2,3,5
7,270,제일 거대한 관광 명소에서 직원이 그날 일본인이 저지르는 행동을 기록했다,직원이 행동을 기록했다.,j,,,
5,271,효민이가 밖에서 신나게 놀다가 갑자기 사라졌다,갑자기 사라진 사람은 효민이다.,j,0,0,4
4,272,병수가 영훈이가 입학을 성공하자 박수를 쳤다,영훈이가 성공한 것은 입학이다.,j,1,2,1
5,273,월영이가 남과 달리 신기한 게임을 좋아했다,게임을 좋아한 사람은 월영이다.,j,0,0,4
3,274,준서가 기수가 음식을 산 가게를 들어갔다,기수가 음식을 샀다.,j,2,3,1
4,275,민성이가 우진이가 길을 묻자 오른쪽을 가리켰다,길을 물은 사람은 우진이다.,j,0,0,1
5,276,다연이가 결정적 단서를 잃어버렸지만 진술을 확보했다,다연이가 확보한 것은 단서다.,f,4,0,4
1,277,영복이가 문을 열어준 재훈이가 마당을 드나들었다,마당을 드나든 사람은 영복이다.,f,3,0,1
5,278,경애가 연극에서 교장 역할을 충실히 수행했다,경애가 수행한 것은 작업이다.,f,7,2,4
2,279,진우가 이익을 포기하고 덕수가 권리를 가졌다,덕수가 권리를 요구했다.,f,8,3,1
5,280,유희가 병재 몰래 텔레비전 화면을 돌렸다,유희가 돌린 것은 고개다.,f,8,3,3
5,281,유미가 직원들 사이의 만남을 적극적으로 주도했다,유미가 주도한 것은 범죄다.,f,7,2,4
5,282,상재가 기존의 생활 방식에 무척이나 만족했다,상재가 생활 방식에 만족했다.,j,2,3,5
4,283,현준이가 설현이가 사표를 내자 규정을 강조했다,사표를 낸 사람은 현준이다.,f,3,0,2
5,284,태민이가 수학적 이론을 근거로 효과를 증명했다,태민이가 증명한 것은 이론이다.,f,4,0,5
4,285,희수가 태오가 선물을 보여주자 보람을 느꼈다,희수가 보람을 느꼈다.,j,2,3,3
1,286,수진이가 집안을 보여준 성환이가 사진을 찍었다,수진이가 보여준 것은 사진이다.,f,4,0,3
4,287,경태가 선우가 의견을 무시하자 입을 다물었다,선우가 의견을 무시했다.,j,2,3,1
5,288,태희가 갑자기 그 교실에서 털썩 주저앉았다,태희가 주저앉은 곳은 복도다.,f,8,3,4
5,289,세한이가 나무를 보호하고 죽은 고양이를 묻어줬다,세한이가 고양이를 보호했다.,f,5,1,5
5,290,아람이가 교과서 주변에 흰 종이를 놓았다,아람이가 놓은 것은 흰 종이다.,j,1,1,4
4,291,보미가 도희가 고통을 호소하자 의사를 기다렸다,보미가 기다린 것은 경찰이다.,f,7,3,0
5,292,은기가 실패한 분야를 승탁이가 성공적으로 이루었다,실패한 사람은 승탁이다.,f,3,2,1
7,293,어젯밤에 평소에 착하고 조용한 아이가 몰래 형이 아끼는 책을 훔쳤다,아이가 훔친 것은 책이다.,j,,,
4,294,미주가 주안이가 기계를 멈추자 눈을 떴다,미주가 뜬 것은 눈이다.,j,1,2,0
5,295,태훈이가 이번 여름에는 바다에서 행사에 참여했다,행사에 참여한 사람은 태훈이다.,j,0,0,5
2,296,혜경이가 관을 연결하고 정기가 물을 뺐다,혜경이가 연결한 것은 관이다.,j,1,1,3
2,297,다희가 정보를 얻고 나연이가 위치를 결정했다,위치를 결정한 사람은 미진이다.,f,6,2,0
5,298,태연이가 이번에는 훈규가 내세운 아이디어를 수용했다,태연이가 아이디어를 수용했다.,j,2,1,3
5,299,주엽이가 아침부터 시골에서 계속 풀을 뜯었다,주엽이가 뜯은 것은 풀이다.,j,1,1,5
5,300,성원이가 우산을 뻗어 상대의 주먹을 쳤다,성원이가 뻗은 것은 주먹이다.,f,4,0,5
5,301,준후가 결혼을 앞두고 불가피하게 전쟁을 치렀다 ,준후가 치른 것은 고통이다.,f,8,3,5
5,302,수종이가 땅바닥에 눕고 선미가 같이 웃었다 ,땅바닥에 누운 사람은 선미다.,f,3,1,2
5,303,수미가 웬만한 경우에는 예술가의 개성을 중시했다,수미가 중시한 것은 경제다.,f,7,3,4
5,304,명섭이가 손해를 내지 않으려 최대한 노력했다,최대한 노력한 사람은 명섭이다.,j,0,1,5
4,305,준영이가 순호가 꽃을 자랑하자 미소를 띄었다,준영이가 미소를 자랑했다.,f,5,1,1
7,306,오랜 외국 여행 중에 대학생이 호텔 주인이 소개한 상인과 연락했다,대학생이 연락한 사람은 상인이다.,j,,,
5,307,요환이가 유명한 작가의 반응을 유심히 지켜봤다,요환이가 지켜본 것은 작가의 반응이다.,j,1,1,5
1,308,인숙이가 차를 태워준 민호가 물건을 받았다,인숙이가 차를 받았다.,f,5,1,3
2,309,은비가 교실을 닦고 승호가 복도를 지나갔다,승호가 복도를 지나갔다.,j,2,3,3
7,310,주성이가 오늘 제법 간단한 일을 한 시간 만에 재빨리 처리했다,일을 처리한 사람은 주성이다.,j,,,
5,311,영지가 침대 옆에서 조심스럽게 걸음을 옮겼다,영지가 옮긴 것은 가방이다.,f,8,3,4
7,312,심각한 고장에 제법 당황한 소비자가 제품의 설명서를 다시 꼼꼼히 확인했다,소비자가 확인한 것은 컴퓨터다.,f,,,
3,313,주희가 민혁이가 사고를 당한 길을 둘러보았다,민혁이가 사고를 당했다.,j,2,2,3
5,314,예리가 인도 출신의 전문가와 지식을 나눴다,지식을 나눈 사람은 진미다.,f,6,2,4
5,315,은진이가 현장을 무사히 벗어나 시장에 도착했다,은진이가 벗어난 곳은 시장이다.,f,4,0,4
3,316,지원이가 재환이가 커피를 흘린 모자를 없앴다,재환이가 흘린 것은 모자다.,f,4,0,3
2,317,상민이가 데이터를 보내고 성규가 종류를 구분했다,상민이가 데이터를 구분했다.,f,5,1,1
5,318,안수가 획기적인 의료 기술의 발전에 기여했다,안수가 기술의 발전에 기여했다.,j,2,3,5
5,319,수인이가 의사를 만나 아픈 몸을 치료했다,수인이가 의사를 치료했다.,f,5,1,4
7,320,준석이가 작년부터 매일 조금씩 가난한 이웃들에게 직접 맛있는 음식을 제공했다,준석이가 제공한 것은 금전이다.,f,,,
5,321,유빈이가 어젯밤에 정말 대단한 성과를 이룩했다,유빈이가 이룩한 것은 성과다.,j,1,1,4
3,322,정은이가 영숙이가 과제를 맡긴 태도를 지적했다,영숙이가 태도를 지적했다.,f,3,0,0
2,323,건우가 철학을 배우고 효영이가 정치를 공부했다,효영이가 공부한 것은 정치다.,j,1,2,2
2,324,지현이가 사업을 시작하고 승환이가 대학원을 지원했다,대학원을 지원한 사람은 승환이다.,j,0,0,3
3,325,정수가 경미가 소설을 쓰는 장면을 봤다,경미가 소설을 읽었다.,f,8,3,2
2,326,채민이가 특징을 설명하고 정훈이가 주제를 정했다,채민이가 설명한 것은 주제다.,f,4,0,3
5,327,백기가 오염된 공기 때문에 기침을 했다,기침을 한 사람은 경구다.,f,6,2,5
4,328,혜선이가 소진이가 목표를 정하자 약속을 지켰다,목표를 정한 사람은 혜선이다.,f,3,0,0
1,329,명환이가 그릇을 나눠준 경희가 과일을 씻었다,명환이가 그릇을 씻었다.,f,5,1,2
4,330,동현이가 나정이가 종이를 내밀자 전화번호를 적었다,종이를 내민 사람은 나정이다.,j,0,0,2
5,331,희경이가 사업의 필요성을 강조하고 절차를 거쳤다,희경이가 절차를 강조했다.,f,5,1,4
1,332,형수가 지시를 내린 광식이가 인터넷을 연결했다,인터넷을 연결한 사람은 건진이다.,f,6,2,1
5,333,성웅이가 유럽에서 문화 차이로 충격을 느꼈다,충격을 느낀 사람은 성웅이다.,j,0,0,5
5,334,주찬이가 회사를 나오고 학교에서 선생님이 되었다,주찬이가 학교를 나왔다.,f,5,0,5
5,335,승지가 제품의 안전 검사를 자세하게 실시했다,승지가 안전 검사를 실시했다.,j,2,3,4
7,336,주환이가 그저께 낮부터 근처 운동장에서 무척 쉽고 가벼운 운동을 시작했다,주환이가 시작한 것은 공부다.,f,,,
4,337,석주가 정미가 직장을 잃자 일자리를 소개했다 ,석주가 일자리를 잃었다.,f,8,3,2
4,338,하나가 용익이가 연극을 비판하자 주의를 기울였다,용익이가 비판한 것은 정치다.,f,7,2,3
1,339,종식이가 옷을 판 혜진이가 가게를 방문했다,옷을 판 사람은 종식이다.,j,0,0,2
4,340,진규가 하영이가 비를 맞자 모자를 샀다,모자를 산 사람은 준구다.,f,6,2,2
3,341,광석이가 민지가 목표를 이룬 소식을 전했다 ,민지가 이룬 것은 목표다.,j,1,1,2
5,342,성길이가 교수와 경제적 관점에서 논쟁을 벌였다,성길이가 벌인 것은 논쟁이다.,j,1,1,5
5,343,상우가 의외로 남의 눈치를 먼저 살폈다,상우가 살핀 것은 눈치다.,j,1,2,5
1,344,영미가 허가를 내준 경민이가 건물을 들어갔다,경민이가 들어간 곳은 밭이다.,f,7,2,3
2,345,영진이가 문제를 풀고 은경이가 과정을 기록했다,문제를 푼 사람은 영진이다.,j,0,0,2
1,346,동진이가 운동을 가르친 미숙이가 자세를 잡았다,운동을 가르쳐준 사람은 동진이다.,j,0,0,2
2,347,재성이가 이론을 보고 한비가 사례를 만들었다,한비가 사례를 봤다.,f,5,1,2
2,348,석희가 지도를 펼치고 수애가 거리를 예측했다,석희가 지도를 버렸다.,f,8,3,2
1,349,경호가 사고를 막아준 지민이가 현장을 떠났다,사고를 막아준 사람은 범주다.,f,6,2,2
7,350,초라하고 쓸쓸한 풍경에 당황한 상인이 친한 동료들이 도착하자 함께 떠났다,풍경에 당황한 사람은 상인이다.,j,,,
7,351,선엽이가 며칠 전에 친구들 앞에서 자신의 애인을 무척 당당하게 소개했다,애인을 소개한 사람은 선엽이다.,j,,,
1,352,수빈이가 밥을 사준 경숙이가 집을 나섰다,밥을 사준 사람은 수빈이다.,j,0,0,0
5,353,대한이가 좁은 골목 사이로 황급히 뛰었다,골목 사이로 뛴 사람은 대한이다.,j,0,0,5
